SampleID,SiteID,SiteType,SampleNote,Date,Time,Depth_m_bgs,DTW_m_bgs,Dist_m,Filter,SpC_uS_cm,pH,T_celsius,DO_mg_L,Alkalinity_mg_L_HCO3,F_mg_L,Cl_mg_L,SO4_mg_L,Br_mg_L,NO3_mg_L,Fe_T_mg_L,Fe_II_mg_L,Ag_fa_ug_L,Ag_ra_ug_L,Al_fa_ug_L,Al_ra_ug_L,As_fa_ug_L,As_ra_ug_L,Au_fa_ug_L,Au_ra_ug_L,B_fa_ug_L,B_ra_ug_L,Ba_fa_ug_L,Ba_ra_ug_L,Be_fa_ug_L,Be_ra_ug_L,Bi_fa_ug_L,Bi_ra_ug_L,Ca_fa_ug_L,Ca_ra_ug_L,Cd_fa_ug_L,Cd_ra_ug_L,Ce_fa_ug_L,Ce_ra_ug_L,Co_fa_ug_L,Co_ra_ug_L,Cr_fa_ug_L,Cr_ra_ug_L,Cs_fa_ug_L,Cs_ra_ug_L,Cu_fa_ug_L,Cu_ra_ug_L,Dy_fa_ug_L,Dy_ra_ug_L,Er_fa_ug_L,Er_ra_ug_L,Eu_fa_ug_L,Eu_ra_ug_L,Fe_fa_ug_L,Fe_ra_ug_L,Ga_fa_ug_L,Ga_ra_ug_L,Gd_fa_ug_L,Gd_ra_ug_L,Ge_fa_ug_L,Ge_ra_ug_L,Hf_fa_ug_L,Hf_ra_ug_L,Hg_fa_ug_L,Hg_ra_ug_L,Ho_fa_ug_L,Ho_ra_ug_L,In_fa_ug_L,In_ra_ug_L,K_fa_ug_L,K_ra_ug_L,La_fa_ug_L,La_ra_ug_L,Li_fa_ug_L,Li_ra_ug_L,Lu_fa_ug_L,Lu_ra_ug_L,Mg_fa_ug_L,Mg_ra_ug_L,Mn_fa_ug_L,Mn_ra_ug_L,Mo_fa_ug_L,Mo_ra_ug_L,Na_fa_ug_L,Na_ra_ug_L,Nb_fa_ug_L,Nb_ra_ug_L,Nd_fa_ug_L,Nd_ra_ug_L,Ni_fa_ug_L,Ni_ra_ug_L,P_fa_ug_L,P_ra_ug_L,Pb_fa_ug_L,Pb_ra_ug_L,Pr_fa_ug_L,Pr_ra_ug_L,Rb_fa_ug_L,Rb_ra_ug_L,Re_fa_ug_L,Re_ra_ug_L,S_fa_ug_L,S_ra_ug_L,Sb_fa_ug_L,Sb_ra_ug_L,Sc_fa_ug_L,Sc_ra_ug_L,Se_fa_ug_L,Se_ra_ug_L,Si_fa_ug_L,Si_ra_ug_L,Sm_fa_ug_L,Sm_ra_ug_L,Sn_fa_ug_L,Sn_ra_ug_L,Sr_fa_ug_L,Sr_ra_ug_L,Ta_fa_ug_L,Ta_ra_ug_L,Tb_fa_ug_L,Tb_ra_ug_L,Te_fa_ug_L,Te_ra_ug_L,Th_fa_ug_L,Th_ra_ug_L,Ti_fa_ug_L,Ti_ra_ug_L,Tl_fa_ug_L,Tl_ra_ug_L,Tm_fa_ug_L,Tm_ra_ug_L,U_fa_ug_L,U_ra_ug_L,V_fa_ug_L,V_ra_ug_L,W_fa_ug_L,W_ra_ug_L,Y_fa_ug_L,Y_ra_ug_L,Yb_fa_ug_L,Yb_ra_ug_L,Zn_fa_ug_L,Zn_ra_ug_L,Zr_fa_ug_L,Zr_ra_ug_L
PG24-P5,P5,Bedrock Well,-9999,8/6/2024,1450,35.7,18.85,-9999,syringe,137,7.16,7.2,2,40.7,0.153,0.462,17.7,0.008,0.009,-9999,-9999,-0.05,1.48,15,5050,-0.2,0.7,-0.01,-0.01,6,10,17.2,75.1,-0.007,0.135,-0.01,0.1,13900,14800,0.033,0.325,0.04,6.29,0.53,2.81,1.65,10.9,-0.1,0.6,1.1,19,-0.01,0.27,-0.01,0.14,-0.01,0.12,93,4630,-0.1,1.8,-0.01,0.44,-0.1,0.3,-0.1,-0.1,-0.01,-0.01,-0.01,0.05,-0.01,0.01,1160,2820,0.02,3.07,0.8,6.9,-0.1,-0.1,1850,3130,75.4,139,1.4,1.8,2300,2680,-0.01,0.73,0.02,2.8,6.7,14.6,6,131,-0.09,6.89,-0.01,0.72,0.9,17.7,-0.1,-0.1,5450,5800,-0.9,2.7,-0.1,1.1,-0.04,0.15,2900,10200,-0.1,0.54,0.11,0.68,58,67.3,-0.1,-0.1,-0.01,0.06,-0.1,-0.1,-0.1,1,0.2,241,-0.005,0.13,-0.01,0.01,0.35,0.824,0.16,9.2,2.6,7.39,0.02,1.23,-0.01,0.1,15,59,-2,-2
PG24-P8,P8,Bedrock Well,-9999,8/6/2024,1315,70.1,39.34,-9999,syringe,435,7.62,9,1.6,91.2,1.69,0.659,34.9,0.009,-0.005,-9999,-9999,-0.05,0.06,3,172,-0.2,-0.2,-0.01,-0.01,3,4,22.1,28.2,-0.007,0.047,-0.01,0.01,27400,27100,0.008,0.028,-0.01,0.39,0.019,0.127,-0.08,1.37,-0.1,-0.1,0.6,2.8,-0.01,0.08,-0.01,0.06,-0.01,0.02,13,1110,-0.1,-0.1,-0.01,0.06,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,-0.01,0.02,-0.01,-0.01,2140,2160,-0.01,0.23,3.7,5.8,-0.1,-0.1,4200,4260,48.4,105,5.2,5.3,7620,7450,-0.01,0.07,-0.01,0.2,0.3,1.4,-3,11,-0.09,0.62,-0.01,0.05,2,2.6,-0.1,-0.1,11100,11300,-0.9,1.8,0.1,0.3,-0.04,-0.04,8030,8310,-0.1,0.05,0.11,0.85,100,98.2,-0.1,-0.1,-0.01,-0.01,-0.1,-0.1,-0.1,0.5,-0.1,9.72,-0.005,-0.005,-0.01,-0.01,3.13,3.16,0.03,0.26,6.91,8.82,0.02,0.66,-0.01,0.05,2,6,-2,-2
PG24-P9A,P9A,Bedrock Well,-9999,7/31/2024,1215,70.1,17.25,-9999,capsule,350,7.37,14.6,1,72.5,0.469,2.45,96.3,0.009,-0.005,-9999,-9999,-0.05,2.62,30,5770,0.2,0.6,-0.01,-0.01,3,3,41.1,101,0.009,0.217,-0.01,0.2,24000,23700,-0.003,0.1,0.15,13.7,0.42,3.08,-0.08,9.56,-0.1,0.6,0.4,17.5,0.02,1.01,0.01,0.53,0.01,0.32,22,5450,-0.1,1.9,0.02,1.26,-0.1,0.4,-0.1,-0.1,-0.01,-0.01,-0.01,0.21,-0.01,0.06,1870,3850,0.08,5.94,1.9,4.7,-0.1,-0.1,3480,4800,112,150,4.4,4.7,33800,31800,-0.01,0.7,0.07,5.92,2.9,11.1,4,62,-0.09,5,0.02,1.53,1.6,17.9,-0.1,-0.1,32800,30800,-0.9,-0.9,0.1,1.8,0.11,0.22,6270,14300,-0.1,1.25,-0.06,0.37,167,179,-0.1,-0.1,-0.01,0.21,-0.1,-0.1,-0.1,3.6,0.7,265,0.006,0.097,-0.01,0.1,5.47,7.18,0.2,7.59,13.2,20.3,0.14,4.14,0.01,0.43,3,50,-2,-2
PG24-P9B,P9B,Bedrock Well,-9999,7/30/2024,1315,44.2,15.74,-9999,capsule,270,7.86,-9999,1.2,70.3,0.425,0.381,68.1,0.013,-0.005,-9999,-9999,-0.05,0.1,19,2280,-0.2,-0.2,-0.01,-0.01,2,3,37.4,51.2,-0.007,0.169,-0.01,0.05,34500,37000,-0.003,0.033,0.16,5.47,0.18,0.61,-0.08,1.11,-0.1,0.2,-0.2,1.5,-0.01,0.24,-0.01,0.1,-0.01,0.05,12,690,-0.1,0.8,-0.01,0.39,-0.1,0.1,-0.1,-0.1,-0.01,-0.01,-0.01,0.04,-0.01,-0.01,2040,2180,0.08,2.7,0.9,3.8,-0.1,-0.1,4630,5380,118,132,0.9,0.9,5480,5520,-0.01,0.1,0.08,2.4,0.6,1.8,-3,17,-0.09,1.76,0.02,0.63,2.4,4.1,-0.1,-0.1,22900,23100,-0.9,-0.9,0.1,0.5,-0.04,0.04,7160,11400,-0.1,0.47,-0.06,0.26,183,189,-0.1,-0.1,-0.01,0.05,-0.1,-0.1,-0.1,2.2,0.3,19.6,-0.005,0.01,-0.01,0.01,0.571,1.31,0.04,1.22,1.55,1.56,0.03,0.96,-0.01,0.1,-2,12,-2,-2
PG24-P9C,P9C,Bedrock Well,-9999,7/30/2024,1545,31.4,18.93,-9999,capsule,254,7.26,17.8,2.7,71.6,0.401,0.529,62.1,0.015,-0.005,-9999,-9999,-0.05,0.34,5,2250,-0.2,0.2,-0.01,-0.01,4,4,35.7,52,-0.007,0.127,-0.01,0.04,30900,34400,-0.003,0.027,0.04,5.07,0.67,0.963,0.31,1.56,-0.1,0.2,-0.2,2.8,-0.01,0.24,-0.01,0.11,-0.01,0.05,176,800,-0.1,0.7,-0.01,0.36,-0.1,0.1,-0.1,-0.1,-0.01,-0.01,-0.01,0.04,-0.01,-0.01,2050,2290,0.02,2.49,1.2,3.7,-0.1,-0.1,4270,5060,121,133,3.5,3.2,7820,7660,-0.01,0.16,0.02,2.2,10.8,10,-3,19,-0.09,1.41,-0.01,0.57,1.9,4.1,-0.1,-0.1,20600,21600,-0.9,-0.9,0.1,0.4,0.04,0.09,6820,11200,-0.1,0.44,0.09,0.36,171,187,-0.1,-0.1,-0.01,0.04,-0.1,-0.1,-0.1,1.8,-0.1,26.7,-0.005,0.014,-0.01,0.01,1.27,2.01,0.15,1.36,14.6,14.7,0.03,1.02,-0.01,0.1,2,9,-2,-2
PG24-P9D,P9D,Bedrock Well,-9999,7/31/2024,1015,18.9,9.74,-9999,capsule,63,6.33,16.3,7.8,21.8,0.099,0.613,10.4,-0.005,0.009,-9999,-9999,0.08,1.66,104,2890,-0.2,0.2,-0.01,-0.01,3,4,16,40,0.016,0.163,-0.01,0.09,5080,6350,0.028,0.04,0.51,9.08,0.34,1.06,0.22,3.36,-0.1,0.2,2.2,12.2,0.12,0.47,0.07,0.25,0.03,0.14,69,1800,-0.1,0.9,0.14,0.68,-0.1,0.2,-0.1,-0.1,-0.01,-0.01,0.03,0.09,-0.01,-0.01,1110,1840,0.29,3.6,0.5,2.4,-0.1,-0.1,1220,2070,9,24,-0.4,-0.4,3180,3430,0.01,0.2,0.5,3.38,2.9,5.8,4,38,-0.09,2.24,0.11,0.88,0.6,6.4,-0.1,-0.1,3010,-5000,-0.9,-0.9,0.1,1,0.11,0.2,6650,10700,0.1,0.67,-0.06,0.12,45,54.7,-0.1,-0.1,0.02,0.09,-0.1,-0.1,-0.1,1.7,2.9,55.2,0.006,0.046,0.01,0.03,0.259,1.73,0.24,3.31,5.69,6.62,0.66,2.15,0.07,0.21,5,14,-2,-2
PG24-P10A,P10A,Bedrock Well,-9999,7/29/2024,1515,51.8,11.22,-9999,syringe,270,7.6,8.9,1.4,67.3,0.308,0.38,68.8,0.014,-0.005,-9999,-9999,-0.05,0.4,3,891,-0.2,-0.2,-0.01,-0.01,2,3,36.7,44.3,-0.007,0.068,-0.01,0.02,32200,33200,0.004,0.152,0.01,2.96,0.3,0.609,-0.08,0.75,-0.1,0.1,-0.2,10.2,-0.01,0.11,-0.01,0.05,-0.01,0.04,45,623,-0.1,0.3,-0.01,0.2,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,-0.01,0.02,-0.01,-0.01,2350,2540,-0.01,1.44,1.1,2.2,-0.1,-0.1,4920,5340,144,149,0.8,0.7,5400,5610,-0.01,0.1,-0.01,1.28,0.6,1.2,-3,8,-0.09,0.92,-0.01,0.34,3.5,5.6,-0.1,-0.1,22600,23100,-0.9,-0.9,0.1,0.3,-0.04,-0.04,7500,9140,-0.1,0.24,0.23,0.34,134,145,-0.1,-0.1,-0.01,0.02,-0.1,-0.1,-0.1,1.2,-0.1,20.4,-0.005,0.018,-0.01,-0.01,0.534,0.822,0.03,0.74,3.41,3.89,-0.02,0.5,-0.01,0.04,3,10,-2,-2
PG24-P10B,P10B,Bedrock Well,-9999,7/30/2024,1015,30.5,11.48,-9999,capsule,426,7.76,11.7,2.8,69.1,0.305,4.99,89.6,0.012,-0.005,-9999,-9999,0.06,2.55,67,2370,0.7,0.7,-0.01,-0.01,5,5,24,41.9,0.01,0.128,-0.01,0.07,20200,20000,0.015,0.092,0.27,7.66,0.48,1.34,0.44,2.47,-0.1,0.2,0.4,8.3,0.01,0.31,-0.01,0.15,-0.01,0.08,67,1640,-0.1,0.8,0.02,0.5,-0.1,0.2,-0.1,-0.1,-0.01,-0.01,-0.01,0.06,-0.01,-0.01,2380,2900,0.12,3.19,4.4,5.4,-0.1,-0.1,2700,3210,90.3,133,6,4.8,45100,37000,0.01,0.26,0.11,2.92,2.4,4.5,3,24,0.1,2.56,0.03,0.75,1.2,5.9,-0.1,-0.1,34600,29000,-0.9,-0.9,-0.1,0.6,0.33,0.47,7200,10500,-0.1,0.57,0.52,0.43,161,157,-0.1,-0.1,-0.01,0.06,-0.1,-0.1,-0.1,2,2.5,55.7,-0.005,0.032,-0.01,0.02,8.96,9.54,0.36,2.33,31.6,34.8,0.06,1.34,-0.01,0.11,2,16,-2,-2
PG24-P10C,P10C,Bedrock Well,-9999,7/29/2024,1000,19.8,9.68,-9999,syringe,176,6.78,11.6,2.5,46.1,0.222,0.66,34.9,0.005,-0.005,-9999,-9999,-0.05,1.04,-1,2100,-0.2,0.2,-0.01,-0.01,2,3,21.8,36.3,-0.007,0.102,-0.01,0.05,16400,17900,0.045,0.066,0.01,4.64,0.46,0.912,-0.08,1.22,-0.1,0.2,0.5,6.4,-0.01,0.2,-0.01,0.09,-0.01,0.06,-7,948,-0.1,0.6,-0.01,0.31,-0.1,0.1,-0.1,-0.1,-0.01,-0.01,-0.01,0.04,-0.01,0.08,1860,2400,-0.01,2,0.8,2.3,-0.1,-0.1,3000,3680,61.3,70.9,1.4,1.6,5910,6420,-0.01,0.15,0.01,1.77,2.2,3.3,4,25,-0.09,1.49,-0.01,0.46,0.7,3.8,-0.1,-0.1,11300,12100,-0.9,-0.9,0.1,0.6,0.08,0.08,7170,11000,-0.1,0.34,0.79,21.8,109,119,-0.1,-0.1,-0.01,0.04,-0.1,-0.1,-0.1,1.5,-0.1,36.2,-0.005,0.021,-0.01,0.01,0.371,1.28,0.23,1.84,41.6,44.2,0.03,0.76,-0.01,0.08,8,22,-2,-2
PG24-P10D,P10D,Bedrock Well,-9999,7/29/2024,1245,11.3,9.68,-9999,syringe,70,6.55,5.8,8,16.6,0.106,0.425,14.7,-0.005,-0.005,-9999,-9999,-0.05,0.15,14,344,-0.2,-0.2,-0.01,-0.01,2,3,15.3,18.1,0.01,0.05,-0.01,0.01,5180,5500,0.063,0.054,0.09,1.12,0.28,0.339,-0.08,0.3,-0.1,-0.1,1.8,2.6,0.05,0.13,0.03,0.08,0.02,0.03,9,182,-0.1,-0.1,0.05,0.16,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,0.01,0.03,-0.01,-0.01,1330,1380,0.06,0.54,0.3,1.2,-0.1,-0.1,1370,1510,21.5,21.7,-0.4,-0.4,2940,2910,-0.01,0.05,0.16,0.62,1.1,1.2,-3,7,-0.09,0.36,0.03,0.15,0.9,1.3,-0.1,-0.1,4280,-5000,-0.9,-0.9,-0.1,0.2,0.06,0.05,6200,6710,-0.1,0.15,1.94,1.15,46.1,47.6,-0.1,-0.1,-0.01,0.02,-0.1,-0.1,-0.1,0.4,0.6,4.03,0.005,0.006,-0.01,-0.01,0.161,0.373,0.09,0.3,7.39,7.19,0.26,0.61,0.04,0.08,9,8,-2,-2
