SampleID,SiteID,SiteType,Date_Collected,Time_Collected,Depth_m_bgs,DTW_m_bgs,Dist_m,Date_NG_Run,He,Heerr,Ne,Neerr,Ar,Arerr,Kr,Krerr,Xe,Xeerr,N2,N2err,3He4He,3He4Heerr,20Ne22Ne,20Ne22Neerrr,40Ar36Ar,40Ar36Arerr,86Kr84Kr,86Kr84Krerr,130Xe132Xe,130Xe132Xeerr,3H_TU,3Herr_TU,delta_18O_permil,delta_2H_permil,SF6_fmol_kg
PG24-P5,P5,Bedrock Well,8/6/2024,1450,35.7,18.85,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.88,-136.5,-9999
PG24-P8,P8,Bedrock Well,8/6/2024,1315,70.1,39.34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.38,-130.7,-9999
PG24-P9A,P9A,Bedrock Well,7/31/2024,1215,70.1,17.25,-9999,8/26/2024,73.84,0.74,210.3,4.2,365.8,7.3,85.12,2.55,12.84,0.47,14.62,0.73,1.804,0.022,9.707,0.089,295.2,0.6,0.305,0.003,0.151,0.004,6.02,0.50,-17.25,-129.1,-9999
PG24-P9B,P9B,Bedrock Well,7/30/2024,1315,44.2,15.74,-9999,8/26/2024,71.71,0.72,197.2,3.9,365.3,7.3,83.39,2.50,12.41,0.37,14.56,0.73,1.866,0.019,9.763,0.044,295.7,1.2,0.308,0.004,0.153,0.005,5.01,0.44,-17.35,-130.5,-9999
PG24-P9C,P9C,Bedrock Well,7/30/2024,1545,31.4,18.93,-9999,8/27/2024,69.39,0.69,202.1,4.0,363.5,7.3,85.24,2.56,12.55,0.46,14.61,0.73,1.860,0.023,9.786,0.089,295.4,0.6,0.305,0.003,0.151,0.004,5.89,0.47,-17.35,-129.8,-9999
PG24-P9D,P9D,Bedrock Well,7/31/2024,1015,18.9,9.74,-9999,8/23/2024,38.40,0.38,163.3,3.3,328.6,6.6,78.51,2.36,11.99,0.36,12.35,0.62,0.990,0.010,9.842,0.044,296.2,1.2,0.306,0.004,0.151,0.005,10.28,0.56,-17.21,-127.9,-9999
PG24-P10A,P10A,Bedrock Well,7/29/2024,1515,51.8,11.22,-9999,8/23/2024,71.72,0.72,216.5,4.3,374.4,7.5,88.61,2.66,13.43,0.50,15.09,0.75,1.832,0.022,9.852,0.089,294.4,0.6,0.303,0.003,0.153,0.004,5.12,0.46,-16.95,-128.5,-9999
PG24-P10B,P10B,Bedrock Well,7/30/2024,1015,30.5,11.48,-9999,8/23/2024,78.02,0.78,263.0,5.3,367.1,7.3,86.68,2.60,13.31,0.49,15.08,0.75,1.326,0.016,9.676,0.089,295.4,0.6,0.302,0.003,0.150,0.004,5.92,0.46,-16.94,-124.7,-9999
PG24-P10C,P10C,Bedrock Well,7/29/2024,1000,19.8,9.68,-9999,8/22/2024,55.20,0.55,201.6,4.0,345.7,6.9,82.18,2.47,12.48,0.37,13.31,0.67,0.986,0.010,9.840,0.044,295.6,1.2,0.305,0.004,0.154,0.005,7.70,0.48,-16.78,-126.2,-9999
PG24-P10D,P10D,Bedrock Well,7/29/2024,1245,11.3,9.68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.95,0.52,-16.87,-127.2,-9999
PG24-P10D3,P10D,Bedrock Well,10/10/24,1200,12.2,10.81,-9999,12/6/2024,44.62,0.45,188.5,3.8,345.0,6.9,82.57,2.48,12.53,0.38,13.80,0.69,0.949,0.010,9.881,0.061,297.2,1.5,0.301,0.003,0.153,0.003,-9999,-9999,-9999,-9999,-9999
