SiteID,Date _SlugAddition,Dectime_hour,BCSC_uS_cm,,
STR1,8/5/2024,15.4333,0,,
STR1,8/5/2024,15.4336,0,,
STR1,8/5/2024,15.4339,0,,
STR1,8/5/2024,15.4342,0,,
STR1,8/5/2024,15.4344,0,,
STR1,8/5/2024,15.4347,0,,
STR1,8/5/2024,15.4350,0,,
STR1,8/5/2024,15.4353,0,,
STR1,8/5/2024,15.4356,0,,
STR1,8/5/2024,15.4358,0,,
STR1,8/5/2024,15.4361,0,,
STR1,8/5/2024,15.4364,0,,
STR1,8/5/2024,15.4367,0,,
STR1,8/5/2024,15.4369,0,,
STR1,8/5/2024,15.4372,0,,
STR1,8/5/2024,15.4375,0,,
STR1,8/5/2024,15.4378,0,,
STR1,8/5/2024,15.4381,0,,
STR1,8/5/2024,15.4383,0,,
STR1,8/5/2024,15.4386,0,,
STR1,8/5/2024,15.4389,0,,
STR1,8/5/2024,15.4392,0,,
STR1,8/5/2024,15.4394,0,,
STR1,8/5/2024,15.4397,0,,
STR1,8/5/2024,15.4400,0,,
STR1,8/5/2024,15.4403,0,,
STR1,8/5/2024,15.4406,0,,
STR1,8/5/2024,15.4408,0,,
STR1,8/5/2024,15.4411,0,,
STR1,8/5/2024,15.4414,0,,
STR1,8/5/2024,15.4417,0,,
STR1,8/5/2024,15.4419,0,,
STR1,8/5/2024,15.4422,0,,
STR1,8/5/2024,15.4425,0,,
STR1,8/5/2024,15.4428,0,,
STR1,8/5/2024,15.4431,0,,
STR1,8/5/2024,15.4433,0,,
STR1,8/5/2024,15.4436,0,,
STR1,8/5/2024,15.4439,0,,
STR1,8/5/2024,15.4442,0,,
STR1,8/5/2024,15.4444,0,,
STR1,8/5/2024,15.4447,0,,
STR1,8/5/2024,15.4450,0,,
STR1,8/5/2024,15.4453,0,,
STR1,8/5/2024,15.4456,0,,
STR1,8/5/2024,15.4458,0,,
STR1,8/5/2024,15.4461,0,,
STR1,8/5/2024,15.4464,0,,
STR1,8/5/2024,15.4467,0,,
STR1,8/5/2024,15.4469,0,,
STR1,8/5/2024,15.4472,0,,
STR1,8/5/2024,15.4475,0,,
STR1,8/5/2024,15.4478,0,,
STR1,8/5/2024,15.4481,0,,
STR1,8/5/2024,15.4483,0,,
STR1,8/5/2024,15.4486,1,,
STR1,8/5/2024,15.4489,1,,
STR1,8/5/2024,15.4492,1,,
STR1,8/5/2024,15.4494,2,,
STR1,8/5/2024,15.4497,3,,
STR1,8/5/2024,15.4500,3,,
STR1,8/5/2024,15.4503,4,,
STR1,8/5/2024,15.4506,4,,
STR1,8/5/2024,15.4508,5,,
STR1,8/5/2024,15.4511,7,,
STR1,8/5/2024,15.4514,8,,
STR1,8/5/2024,15.4517,9,,
STR1,8/5/2024,15.4519,9,,
STR1,8/5/2024,15.4522,10,,
STR1,8/5/2024,15.4525,13,,
STR1,8/5/2024,15.4528,17,,
STR1,8/5/2024,15.4531,20,,
STR1,8/5/2024,15.4533,20,,
STR1,8/5/2024,15.4536,22,,
STR1,8/5/2024,15.4539,26,,
STR1,8/5/2024,15.4542,31,,
STR1,8/5/2024,15.4544,40,,
STR1,8/5/2024,15.4547,47,,
STR1,8/5/2024,15.4550,53,,
STR1,8/5/2024,15.4553,56,,
STR1,8/5/2024,15.4556,56,,
STR1,8/5/2024,15.4558,56,,
STR1,8/5/2024,15.4561,57,,
STR1,8/5/2024,15.4564,60,,
STR1,8/5/2024,15.4567,63,,
STR1,8/5/2024,15.4569,69,,
STR1,8/5/2024,15.4572,73,,
STR1,8/5/2024,15.4575,82,,
STR1,8/5/2024,15.4578,95,,
STR1,8/5/2024,15.4581,107,,
STR1,8/5/2024,15.4583,127,,
STR1,8/5/2024,15.4586,148,,
STR1,8/5/2024,15.4589,156,,
STR1,8/5/2024,15.4592,154,,
STR1,8/5/2024,15.4594,156,,
STR1,8/5/2024,15.4597,164,,
STR1,8/5/2024,15.4600,172,,
STR1,8/5/2024,15.4603,183,,
STR1,8/5/2024,15.4606,189,,
STR1,8/5/2024,15.4608,184,,
STR1,8/5/2024,15.4611,186,,
STR1,8/5/2024,15.4614,206,,
STR1,8/5/2024,15.4617,231,,
STR1,8/5/2024,15.4619,252,,
STR1,8/5/2024,15.4622,261,,
STR1,8/5/2024,15.4625,270,,
STR1,8/5/2024,15.4628,283,,
STR1,8/5/2024,15.4631,298,,
STR1,8/5/2024,15.4633,314,,
STR1,8/5/2024,15.4636,324,,
STR1,8/5/2024,15.4639,329,,
STR1,8/5/2024,15.4642,341,,
STR1,8/5/2024,15.4644,354,,
STR1,8/5/2024,15.4647,362,,
STR1,8/5/2024,15.4650,370,,
STR1,8/5/2024,15.4653,378,,
STR1,8/5/2024,15.4656,375,,
STR1,8/5/2024,15.4658,380,,
STR1,8/5/2024,15.4661,394,,
STR1,8/5/2024,15.4664,394,,
STR1,8/5/2024,15.4667,393,,
STR1,8/5/2024,15.4669,398,,
STR1,8/5/2024,15.4672,407,,
STR1,8/5/2024,15.4675,418,,
STR1,8/5/2024,15.4678,433,,
STR1,8/5/2024,15.4681,457,,
STR1,8/5/2024,15.4683,472,,
STR1,8/5/2024,15.4686,484,,
STR1,8/5/2024,15.4689,485,,
STR1,8/5/2024,15.4692,488,,
STR1,8/5/2024,15.4694,493,,
STR1,8/5/2024,15.4697,500,,
STR1,8/5/2024,15.4700,508,,
STR1,8/5/2024,15.4703,512,,
STR1,8/5/2024,15.4706,521,,
STR1,8/5/2024,15.4708,532,,
STR1,8/5/2024,15.4711,542,,
STR1,8/5/2024,15.4714,548,,
