SiteID,Dist_m,Br_used_mg_L,Qmethod,Streamflow_L_s,Al_load_mg_s,Al_cumulative_mg_s,Al_scaled_percent,Al_contribution_percent,Ba_load_ug_s,Ba_cumulative_ug_s,Ba_scaled_percent,Ba_contribution_percent,Be_load_ug_s,Be_cumulative_ug_s,Be_scaled_percent,Be_contribution_percent,Ca_load_mg_s,Ca_cumulative_mg_s,Ca_scaled_percent,Ca_contribution_percent,Cd_load_ug_s,Cd_cumulative_ug_s,Cd_scaled_percent,Cd_contribution_percent,Ce_load_ug_s,Ce_cumulative_ug_s,Ce_scaled_percent,Ce_contribution_percent,Cl_load_mg_s,Cl_cumulative_mg_s,Cl_scaled_percent,Cl_contribution_percent,Co_load_ug_s,Co_cumulative_ug_s,Co_scaled_percent,Co_contribution_percent,Cu_load_ug_s,Cu_cumulative_ug_s,Cu_scaled_percent,Cu_contribution_percent,Dy_load_ug_s,Dy_cumulative_ug_s,Dy_scaled_percent,Dy_contribution_percent,Er_load_ug_s,Er_cumulative_ug_s,Er_scaled_percent,Er_contribution_percent,Eu_load_ug_s,Eu_cumulative_ug_s,Eu_scaled_percent,Eu_contribution_percent,F_load_mg_s,F_cumulative_mg_s,F_scaled_percent,F_contribution_percent,Fe_load_mg_s,Fe_cumulative_mg_s,Fe_scaled_percent,Fe_contribution_percent,Gd_load_ug_s,Gd_cumulative_ug_s,Gd_scaled_percent,Gd_contribution_percent,K_load_mg_s,K_cumulative_mg_s,K_scaled_percent,K_contribution_percent,La_load_ug_s,La_cumulative_ug_s,La_scaled_percent,La_contribution_percent,Li_load_ug_s,Li_cumulative_ug_s,Li_scaled_percent,Li_contribution_percent,Mg_load_mg_s,Mg_cumulative_mg_s,Mg_scaled_percent,Mg_contribution_percent,Mn_load_mg_s,Mn_cumulative_mg_s,Mn_scaled_percent,Mn_contribution_percent,Mo_load_ug_s,Mo_cumulative_ug_s,Mo_scaled_percent,Mo_contribution_percent,Nd_load_ug_s,Nd_cumulative_ug_s,Nd_scaled_percent,Nd_contribution_percent,Ni_load_ug_s,Ni_cumulative_ug_s,Ni_scaled_percent,Ni_contribution_percent,Pb_load_ug_s,Pb_cumulative_ug_s,Pb_scaled_percent,Pb_contribution_percent,Pr_load_ug_s,Pr_cumulative_ug_s,Pr_scaled_percent,Pr_contribution_percent,Rb_load_ug_s,Rb_cumulative_ug_s,Rb_scaled_percent,Rb_contribution_percent,Si_load_mg_s,Si_cumulative_mg_s,Si_scaled_percent,Si_contribution_percent,Sm_load_ug_s,Sm_cumulative_ug_s,Sm_scaled_percent,Sm_contribution_percent,SO4_load_g_s,SO4_cumulative_g_s,SO4_scaled_percent,SO4_contribution_percent,Sr_load_mg_s,Sr_cumulative_mg_s,Sr_scaled_percent,Sr_contribution_percent,U_load_ug_s,U_cumulative_ug_s,U_scaled_percent,U_contribution_percent,W_load_ug_s,W_cumulative_ug_s,W_scaled_percent,W_contribution_percent,Y_load_ug_s,Y_cumulative_ug_s,Y_scaled_percent,Y_contribution_percent,Yb_load_ug_s,Yb_cumulative_ug_s,Yb_scaled_percent,Yb_contribution_percent,Zn_load_mg_s,Zn_cumulative_mg_s,Zn_scaled_percent,Zn_contribution_percent
STR1,20,-9999,Slug,0.575,0.022,0.022,0.2,0.2,6.382,6.382,2.5,2.5,0.0057,0.0057,0.1,0.1,2.8,2.8,0.4,0.4,0.004,0.004,0,0,0.0402,0.0402,0.1,0.1,0.1782,0.1782,4,4,0.0121,0.0121,0,0.0037,0.4599,0.4599,0.1,0.1,0.0115,0.0115,0.2,0.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0402,0.0402,0.2,0.2,0.0115,0.0115,0,0,0.0057,0.0057,0.1,0.1,0.3973,0.3973,1.8,1.8,0.0345,0.0345,0.1,0.1,0.115,0.115,0.2,0.2,0.6382,0.6382,0.5,0.5,0.0003,0.0003,0,0,0.4024,0.4024,2.2,2.2,0.0402,0.0402,0.1,0.1,0.115,0.115,0,0,0.0862,0.0862,0.3,0.3,0.0115,0.0115,0.1,0.1,0.1725,0.1725,0.4,0.4,3.909,3.909,2.4,2.4,0.0115,0.0115,0.2,0.2,0.0053,0.0053,0.2,0.2,0.0227,0.0227,0.6,0.6,0.0115,0.0115,0,0,0.0172,0.0172,0.1,0.1,0.046,0.046,0.2,0.2,0.0057,0.0057,0.2,0.2,0.0121,0.0121,0.2,0.2
GG-0250,250,75.6,Equation 1,0.592,0.009,0.022,0.2,-0.1,7.428,7.428,2.9,0.4,0.0059,0.0059,0.1,0,3.078,3.078,0.5,0,0.0065,0.0065,0,0,0.0296,0.0402,0.1,0,0.1953,0.1953,4.4,0.4,0.0124,0.0124,0,0.0001,0.5919,0.5919,0.1,0,0.0089,0.0115,0.2,0,0.0089,0.0089,0.3,0.3,-9999,-9999,-9999,-9999,0.071,0.071,0.4,0.2,0.0059,0.0115,0,0,0.0089,0.0089,0.1,0,0.4152,0.4152,1.9,0.1,0.0355,0.0355,0.1,0,0.1184,0.1184,0.2,0,0.6865,0.6865,0.5,0,0.0004,0.0004,0,0,0.3551,0.4024,2.2,-0.3,0.0414,0.0414,0.1,0,0.1184,0.1184,0,0,0.0533,0.0862,0.3,-0.1,0.0118,0.0118,0.1,0,0.1184,0.1725,0.4,-0.1,4.063,4.063,2.5,0.1,0.0118,0.0118,0.2,0,0.006,0.006,0.2,0,0.0233,0.0233,0.7,0,0.0118,0.0118,0,0,0.0118,0.0172,0.1,0,0.074,0.074,0.3,0.1,0.0059,0.0059,0.2,0,0.0056,0.0121,0.2,-0.1
GG-0295,295,63.8,Equation 1,0.701,0.011,0.023,0.2,0,11.36,11.36,4.4,1.5,0.007,0.007,0.1,0,4.685,4.685,0.7,0.2,0.007,0.007,0,0,0.0491,0.0597,0.1,0,0.2384,0.2384,5.4,1,0.0133,0.0133,0,0.0003,0.7013,0.7013,0.1,0,0.014,0.0166,0.3,0.1,0.007,0.0089,0.3,-0.1,0.007,0.007,0.4,0.4,0.0491,0.071,0.4,-0.1,0.014,0.0196,0.1,0,0.014,0.014,0.2,0.1,0.5526,0.5526,2.6,0.6,0.0631,0.0631,0.2,0.1,0.1403,0.1403,0.2,0,1.087,1.087,0.8,0.3,0.0006,0.0006,0,0,0.4208,0.4681,2.6,0.4,0.0631,0.0631,0.2,0.1,0.2104,0.2104,0.1,0,0.1543,0.1873,0.6,0.3,0.014,0.014,0.2,0,0.1403,0.1944,0.5,0.1,4.853,4.853,2.9,0.5,0.021,0.021,0.3,0.1,0.007,0.007,0.2,0,0.0348,0.0348,1,0.3,0.007,0.0118,0,0,0.2455,0.2509,1.7,1.6,0.0771,0.0771,0.3,0,0.007,0.007,0.3,0,0.0063,0.0128,0.2,0
GG-0350,350,17,Equation 1,2.63,0.061,0.073,0.5,0.4,51.06,51.06,19.7,15.3,0.0263,0.0263,0.3,0.2,28.16,28.16,4.4,3.6,0.2369,0.2369,0.7,0.7,0.2106,0.2212,0.4,0.3,0.8949,0.8949,20.2,14.8,0.1263,0.1263,0,0.035,3.158,3.158,0.6,0.5,0.079,0.0816,1.2,1,0.0263,0.0282,1.1,0.7,0.0263,0.0263,1.3,1,0.2632,0.2851,1.7,1.2,0.2632,0.2688,0.7,0.6,0.0526,0.0526,0.7,0.5,2.474,2.474,11.5,8.9,0.3422,0.3422,1.1,0.9,0.7896,0.7896,1.3,1,6.475,6.475,5,4.2,0.0113,0.0113,0.1,0.1,1.579,1.627,8.9,6.3,0.2632,0.2632,0.8,0.6,3.158,3.158,1.1,1,0.4211,0.4541,1.5,0.9,0.079,0.079,1,0.8,0.5264,0.5805,1.4,0.9,18.92,18.92,11.5,8.5,0.079,0.079,1.1,0.8,0.0655,0.0655,2.3,2.1,0.1863,0.1863,5.3,4.3,0.0526,0.0575,0.1,0.1,0.079,0.2509,1.7,-1.1,0.4738,0.4738,1.6,1.4,0.0263,0.0263,1.1,0.8,0.0895,0.0959,1.2,1
GG-0385,385,16.79,Sweep,2.67,0.064,0.077,0.5,0,52.78,52.78,20.3,0.7,0.0533,0.0533,0.6,0.3,29.32,29.32,4.5,0.2,0.2346,0.2369,0.7,0,0.1866,0.2212,0.4,0,0.9329,0.9329,21,0.9,0.1706,0.1706,0.1,0.0137,2.932,3.158,0.6,0,0.08,0.0826,1.3,0,0.0533,0.0552,2.1,1,0.0267,0.0267,1.3,0,0.2666,0.2885,1.7,0,0.1866,0.2688,0.7,-0.2,0.1066,0.1066,1.3,0.7,2.548,2.548,11.8,0.3,0.2132,0.3422,1.1,-0.4,0.7997,0.7997,1.3,0,6.637,6.637,5.2,0.1,0.0133,0.0133,0.1,0,1.333,1.627,8.9,-1.3,0.2932,0.2932,0.9,0.1,3.199,3.199,1.1,0,0.3998,0.4541,1.5,-0.1,0.08,0.08,1,0,0.5331,0.5872,1.4,0,18.98,18.98,11.5,0,0.1066,0.1066,1.5,0.4,0.0682,0.0682,2.4,0.1,0.1895,0.1895,5.4,0.1,0.0533,0.0581,0.1,0,0.2932,0.4651,3.1,1.4,0.4265,0.4738,1.6,-0.2,0.0533,0.0533,2.2,1.1,0.096,0.1024,1.3,0.1
GG-0423,423,4.92,Equation 1,9.09,12.28,12.29,86.9,86.3,150.1,150.1,57.8,37.5,5.366,5.366,63.7,63.1,483.8,483.8,75,70.5,24.92,24.92,74.7,74,54.11,54.15,91.3,90.9,2.91,2.91,65.5,44.5,300.1,300.1,93.1,93,469.3,469.5,88.4,87.8,5.184,5.186,78.8,77.5,2.001,2.003,76.4,74.3,1.546,1.546,78.1,76.8,14.1,14.12,81.9,80.2,36.29,36.37,94.5,93.8,6.639,6.639,82.6,81.3,15.28,15.28,70.8,59,26.46,26.59,84.2,83.1,47.29,47.29,76.3,75,90.94,90.94,70.6,65.5,14.37,14.37,87.6,87.5,17.28,17.57,96.2,87.3,27.1,27.1,86.8,85.9,218.3,218.3,76.2,75.1,28.37,28.43,91.9,90.5,6.639,6.639,83.4,82.4,35.47,35.52,85.4,84,121,121,73.5,61.9,5.638,5.638,80.9,79.4,2.046,2.046,73.3,70.9,2.546,2.546,73,67.6,43.02,43.02,92.7,92.6,13.28,13.45,89.9,86.8,22.01,22.06,76.7,75.1,1.637,1.637,67.8,65.6,6.521,6.527,81.2,79.9
GG-0485,485,4.91,Equation 1,9.11,12.3,12.32,87.1,0.2,154.9,154.9,59.7,1.9,5.559,5.559,66,2.3,478.4,483.8,75,-0.8,23.42,24.92,74.7,-4.5,52.76,54.15,91.3,-2.3,2.825,2.91,65.5,-1.9,292.5,300.1,93.1,-2.4,452,469.5,88.4,-3.3,4.921,5.186,78.8,-4,1.914,2.003,76.4,-3.3,1.549,1.549,78.3,0.2,13.21,14.12,81.9,-5.1,34.26,36.37,94.5,-5.3,5.559,6.639,82.6,-13.4,14.95,15.28,70.8,-1.5,26.52,26.65,84.4,0.2,49.21,49.21,79.4,3.1,85.75,90.94,70.6,-4,13.94,14.37,87.6,-2.6,14.58,17.57,96.2,-14.8,26.34,27.1,86.8,-2.5,209.6,218.3,76.2,-3,28.98,29.03,93.9,2,6.47,6.639,83.4,-2.1,34.63,35.52,85.4,-2,120.3,121,73.5,-0.4,5.741,5.741,82.4,1.5,2.06,2.06,73.8,0.5,2.506,2.546,73,-1.2,44.29,44.29,95.4,2.7,13.3,13.48,90.1,0.2,22.78,22.83,79.4,2.7,1.823,1.823,75.5,7.7,6.589,6.595,82,0.8
GG-0540,540,4.82,Equation 1,9.28,12.62,12.64,89.3,2.3,154.1,154.9,59.7,-0.3,5.663,5.663,67.3,1.2,485.5,490.9,76.1,1.1,23.76,25.27,75.7,1,55.98,57.36,96.7,5.4,2.971,3.056,68.8,3.3,293.3,300.9,93.3,0.3,453.9,471.4,88.8,0.4,4.827,5.186,78.8,-1.4,2.228,2.317,88.3,12,1.3,1.549,78.3,-12.6,12.72,14.12,81.9,-2.9,31.93,36.37,94.5,-6.1,5.477,6.639,82.6,-1,15.32,15.65,72.5,1.7,27.15,27.28,86.4,2,47.34,49.21,79.4,-3,89.67,94.87,73.7,3,13.65,14.37,87.6,-1.8,14.85,17.85,97.6,1.5,26.64,27.41,87.8,1,213.5,222.2,77.6,1.4,25.99,29.03,93.9,-9.7,6.777,6.945,87.3,3.9,34.35,35.52,85.4,-0.7,120.7,121.3,73.7,0.2,5.755,5.755,82.6,0.2,2.042,2.06,73.8,-0.6,2.506,2.547,73,0,39.73,44.29,95.4,-9.8,12.53,13.48,90.1,-5.2,24.23,24.28,84.5,5,1.764,1.823,75.5,-2.4,6.637,6.644,82.6,0.6
GG-0599,599,4.71,Equation 1,9.5,12.44,12.64,89.3,-1.3,165.3,166.1,64,4.3,5.89,5.89,70,2.7,498.7,504.1,78.2,2.1,25.46,26.96,80.8,5.1,52.44,57.36,96.7,-6,3.04,3.125,70.4,1.6,291.6,300.9,93.3,-0.5,461.7,479.2,90.2,1.5,5.13,5.489,83.4,4.6,2.09,2.317,88.3,-5.3,1.33,1.58,79.8,1.5,13.2,14.61,84.7,2.8,30.87,36.37,94.5,-2.8,6.08,7.242,90.1,7.5,16.05,16.39,75.9,3.4,27.93,28.06,88.8,2.5,49.4,51.27,82.8,3.3,93.95,99.14,77,3.3,13.96,14.69,89.5,1.9,14.25,17.85,97.6,-3.3,25.08,27.41,87.8,-5,228,236.7,82.6,5.1,26.79,29.83,96.5,2.6,6.555,6.945,87.3,-2.8,33.25,35.52,85.4,-2.6,127.3,128,77.7,4,4.845,5.755,82.6,-13.1,2.137,2.155,77.2,3.4,2.603,2.643,75.8,2.8,37.9,44.29,95.4,-3.9,12.44,13.48,90.1,-0.6,25.08,25.13,87.4,3,1.805,1.864,77.2,1.7,6.83,6.837,85,2.4
GG-0657,657,4.59,Equation 1,9.75,12.77,12.96,91.6,2.3,164.7,166.1,64,-0.2,6.726,6.726,79.9,9.9,517.6,523,81.1,2.9,25.64,27.14,81.3,0.5,51.96,57.36,96.7,-0.8,3.119,3.205,72.2,1.8,298.3,307.6,95.4,2.1,456.2,479.2,90.2,-1,4.874,5.489,83.4,-3.9,2.047,2.317,88.3,-1.6,1.56,1.809,91.4,11.6,13.65,15.05,87.3,2.6,32.56,38.05,98.9,4.4,6.434,7.596,94.5,4.4,16.77,17.1,79.2,3.3,28.27,28.4,89.9,1.1,49.72,51.58,83.3,0.5,95.14,100.3,77.9,0.9,14.43,15.15,92.4,2.8,13.65,17.85,97.6,-3.3,26.32,28.65,91.8,4,234,242.6,84.7,2.1,27.88,30.92,100,3.5,6.824,7.214,90.7,3.4,35.09,37.37,89.8,4.4,124.8,128,77.7,-1.5,4.777,5.755,82.6,-1,2.213,2.23,79.9,2.7,2.739,2.78,79.7,3.9,38.31,44.7,96.3,0.9,13.16,14.19,94.9,4.8,24.27,25.13,87.4,-2.8,1.852,1.911,79.1,2,6.921,6.928,86.2,1.1
